weight,time,chick,diet
182,14,S40,D3
215,16,S40,D3
262,18,S40,D3
295,20,S40,D3
321,21,S40,D3
42,0,S41,D4
51,2,S41,D4
66,4,S41,D4
85,6,S41,D4
103,8,S41,D4
124,10,S41,D4
155,12,S41,D4
153,14,S41,D4
175,16,S41,D4
184,18,S41,D4
199,20,S41,D4
204,21,S41,D4
42,0,S42,D4
49,2,S42,D4
63,4,S42,D4
84,6,S42,D4
103,8,S42,D4
126,10,S42,D4
160,12,S42,D4
174,14,S42,D4
204,16,S42,D4
234,18,S42,D4
269,20,S42,D4
281,21,S42,D4
42,0,S43,D4
55,2,S43,D4
69,4,S43,D4
96,6,S43,D4
131,8,S43,D4
157,10,S43,D4
184,12,S43,D4
188,14,S43,D4
197,16,S43,D4
198,18,S43,D4
199,20,S43,D4
200,21,S43,D4
42,0,S44,D4
51,2,S44,D4
65,4,S44,D4
86,6,S44,D4
103,8,S44,D4
118,10,S44,D4
127,12,S44,D4
138,14,S44,D4
145,16,S44,D4
146,18,S44,D4
41,0,S45,D4
50,2,S45,D4
61,4,S45,D4
78,6,S45,D4
98,8,S45,D4
117,10,S45,D4
135,12,S45,D4
141,14,S45,D4
147,16,S45,D4
174,18,S45,D4
197,20,S45,D4
196,21,S45,D4
40,0,S46,D4
52,2,S46,D4
62,4,S46,D4
82,6,S46,D4
101,8,S46,D4
120,10,S46,D4
144,12,S46,D4
156,14,S46,D4
173,16,S46,D4
210,18,S46,D4
231,20,S46,D4
238,21,S46,D4
41,0,S47,D4
53,2,S47,D4
66,4,S47,D4
79,6,S47,D4
100,8,S47,D4
123,10,S47,D4
148,12,S47,D4
157,14,S47,D4
168,16,S47,D4
185,18,S47,D4
210,20,S47,D4
205,21,S47,D4
39,0,S48,D4
50,2,S48,D4
62,4,S48,D4
80,6,S48,D4
104,8,S48,D4
125,10,S48,D4
154,12,S48,D4
170,14,S48,D4
222,16,S48,D4
261,18,S48,D4
303,20,S48,D4
322,21,S48,D4
40,0,S49,D4
53,2,S49,D4
64,4,S49,D4
85,6,S49,D4
108,8,S49,D4
128,10,S49,D4
152,12,S49,D4
166,14,S49,D4
184,16,S49,D4
203,18,S49,D4
233,20,S49,D4
237,21,S49,D4
41,0,S50,D4
54,2,S50,D4
67,4,S50,D4
84,6,S50,D4
105,8,S50,D4
122,10,S50,D4
155,12,S50,D4
175,14,S50,D4
205,16,S50,D4
234,18,S50,D4
264,20,S50,D4
264,21,S50,D4
